matchNumber,teamNumber,startPosition,autoFuel,autoFuel_timestamps,autoFeed,autoAccuracy,autoClimbLevel,autoClimbPos,crossBumpAuto,crossTrenchAuto,autoOofTime,teleFuel,teleFuel_timestamps,teleFeed,teleAccuracy,crossBumpTele,crossTrenchTele,teleOofTime,attackingTime,defendedTime,scoringLocations,feedingLocations,teleClimb,climbTime,drivetrainSpeed,driverSkill,freeClimbPenalty,matchNotes,contributedPoints
6,1690,Right,2,"[3.1, 4.5]",0,78,,,FALSE,FALSE,0,13,"[10.4, 17.6, 19.3, 32.2, 34.7, 41.9, 52.0, 62.3, 79.8, 91.9, 99.2, 100.7, 109.6]",0,89,FALSE,FALSE,7,17,6,Hub,Trench,Level 3,12,Medium,Good,FALSE,Great defense evasion,35
6,1114,Mid,4,"[1.5, 4.2, 4.5, 4.7]",0,79,,,FALSE,FALSE,0,13,"[19.5, 29.8, 38.2, 46.4, 50.3, 60.5, 63.1, 70.7, 79.4, 103.1, 109.7, 110.1, 112.3]",0,86,TRUE,FALSE,3,5,12,Hub,Mid,Level 3,7,Fast,Excellent,FALSE,Great defense evasion,26
6,441,Mid,3,"[2.9, 3.3, 4.2]",0,90,,,FALSE,TRUE,0,18,"[19.7, 23.4, 26.2, 29.1, 30.1, 36.4, 40.4, 62.4, 70.3, 75.4, 83.8, 89.7, 90.0, 95.4, 98.2, 105.3, 107.6, 109.1]",0,77,FALSE,TRUE,5,7,16,Hub,Mid,None,0,Fast,Excellent,FALSE,Great shooting,34
6,3476,Right,6,"[1.2, 2.4, 2.8, 3.6, 4.3, 4.7]",0,85,,,FALSE,FALSE,0,14,"[22.0, 29.3, 42.4, 65.4, 66.8, 68.9, 71.2, 73.3, 94.7, 96.3, 102.9, 117.7, 118.4, 119.4]",0,84,FALSE,FALSE,0,17,11,Hub,Mid,Level 2,11,Fast,Good,FALSE,Fast climb,48
6,1678,Right,2,"[1.4, 2.8]",0,96,,,FALSE,FALSE,0,18,"[24.6, 30.9, 33.1, 38.5, 43.0, 43.6, 45.8, 51.0, 56.1, 59.3, 65.0, 77.0, 82.9, 109.2, 113.2, 114.6, 117.7, 117.9]",0,93,TRUE,TRUE,3,15,23,Hub,Mid,None,0,Fast,Good,FALSE,Fast climb,43
6,254,Left,4,"[1.4, 1.4, 4.6, 4.8]",0,84,,,FALSE,TRUE,0,10,"[18.6, 25.7, 29.2, 41.2, 48.6, 62.2, 80.0, 99.0, 100.0, 109.4]",0,70,FALSE,FALSE,7,20,30,Hub,Trench,Level 2,12,Medium,Excellent,FALSE,Great shooting,27
7,441,Left,3,"[2.6, 4.4, 5.0]",0,84,,,TRUE,FALSE,0,11,"[12.6, 34.7, 41.4, 45.0, 60.4, 65.5, 67.9, 69.8, 69.8, 98.9, 110.0]",0,84,TRUE,FALSE,3,7,18,Hub,Mid,None,0,Fast,Excellent,FALSE,Slow aim but accurate,47
7,118,Mid,4,"[1.8, 4.0, 4.2, 4.6]",0,76,,,TRUE,FALSE,0,14,"[10.0, 16.9, 21.1, 28.4, 52.5, 66.5, 66.8, 79.1, 80.3, 87.5, 90.0, 95.2, 98.4, 99.6]",0,76,TRUE,TRUE,9,14,12,Hub,Mid,Level 3,10,Medium,Excellent,FALSE,Great defense evasion,50
7,1619,Left,2,"[1.2, 3.5]",0,87,,,FALSE,FALSE,0,13,"[21.6, 22.2, 23.3, 25.9, 27.3, 28.3, 30.5, 49.5, 50.0, 63.1, 69.2, 81.9, 98.2]",0,87,FALSE,FALSE,3,12,17,Hub,Mid,Level 2,5,Medium,Excellent,FALSE,Missed a few shots,43
7,148,Left,4,"[2.8, 3.8, 3.8, 4.0]",0,99,,,TRUE,FALSE,0,10,"[32.4, 32.6, 37.9, 42.6, 55.1, 75.7, 79.7, 93.1, 94.1, 100.0]",0,89,FALSE,TRUE,3,13,11,Hub,Trench,None,0,Medium,Excellent,FALSE,Excellent pathing,26
7,3476,Left,2,"[1.2, 3.6]",0,87,,,FALSE,FALSE,0,10,"[11.8, 43.4, 50.8, 75.4, 80.4, 82.1, 91.8, 92.1, 96.4, 116.4]",0,91,TRUE,TRUE,9,12,6,Hub,Mid,Level 2,5,Medium,Excellent,FALSE,Fast climb,44
7,33,Right,5,"[2.3, 2.8, 3.0, 3.3, 4.0]",0,100,,,FALSE,TRUE,0,12,"[18.3, 22.6, 26.0, 35.6, 57.3, 62.4, 63.4, 94.0, 95.8, 106.2, 114.1, 118.7]",0,91,TRUE,TRUE,0,17,9,Hub,Mid,None,0,Fast,Good,FALSE,Slow aim but accurate,45
8,254,Left,4,"[2.4, 2.8, 3.7, 4.3]",0,91,,,FALSE,FALSE,0,11,"[12.2, 26.9, 27.2, 34.6, 42.4, 49.7, 56.2, 66.9, 69.4, 87.3, 90.8]",0,93,FALSE,FALSE,4,15,24,Hub,Mid,Level 2,5,Medium,Excellent,FALSE,Very consistent,34
8,33,Mid,6,"[1.3, 2.8, 3.5, 4.0, 4.0, 4.6]",0,88,,,TRUE,TRUE,0,18,"[13.8, 15.8, 22.7, 26.0, 39.9, 47.9, 48.2, 63.6, 73.0, 84.9, 84.9, 93.8, 93.9, 101.0, 104.9, 118.6, 119.0, 119.6]",0,87,TRUE,TRUE,7,20,13,Hub,Trench,Level 3,6,Medium,Excellent,FALSE,Got defended heavily,47
8,604,Mid,3,"[2.5, 3.1, 4.9]",0,83,,,TRUE,TRUE,0,9,"[30.6, 35.2, 52.2, 75.7, 81.3, 89.8, 92.4, 99.7, 111.8]",0,79,TRUE,FALSE,6,6,12,Hub,Trench,None,0,Fast,Excellent,FALSE,Slow aim but accurate,38
8,118,Mid,6,"[1.0, 1.6, 1.9, 2.1, 3.1, 3.8]",0,90,,,TRUE,TRUE,0,11,"[14.5, 23.9, 24.5, 37.3, 49.0, 50.5, 65.0, 81.3, 90.4, 93.4, 109.0]",0,88,FALSE,TRUE,0,13,27,Hub,Trench,Level 2,9,Fast,Good,FALSE,Very consistent,42
8,4414,Right,6,"[1.1, 1.4, 1.7, 1.8, 2.4, 4.9]",0,78,,,TRUE,FALSE,0,17,"[10.8, 25.8, 29.0, 31.5, 48.3, 53.5, 59.6, 64.1, 64.5, 66.0, 66.2, 70.5, 84.1, 84.8, 101.0, 105.7, 115.8]",0,88,FALSE,FALSE,7,6,6,Hub,Trench,Level 3,4,Fast,Good,FALSE,Great defense evasion,32
8,441,Right,3,"[1.1, 1.4, 2.9]",0,85,,,FALSE,FALSE,0,9,"[10.5, 21.0, 31.7, 65.6, 69.1, 70.2, 92.3, 93.5, 97.2]",0,84,FALSE,FALSE,7,15,27,Hub,Trench,None,0,Fast,Excellent,FALSE,Very consistent,47
9,1114,Left,4,"[2.1, 3.0, 3.3, 3.9]",0,81,,,FALSE,FALSE,0,11,"[19.0, 27.3, 74.5, 77.3, 82.0, 87.7, 88.8, 91.4, 99.7, 107.0, 108.8]",0,86,TRUE,TRUE,3,6,21,Hub,Trench,None,0,Fast,Excellent,FALSE,Strong defense,38
9,1678,Right,6,"[1.7, 1.7, 2.0, 2.9, 3.3, 4.8]",0,90,,,FALSE,TRUE,0,15,"[15.6, 16.0, 19.4, 19.7, 21.3, 25.1, 31.7, 50.3, 52.5, 60.7, 86.4, 87.4, 88.7, 93.9, 107.5]",0,85,TRUE,TRUE,4,18,14,Hub,Mid,Level 3,11,Medium,Excellent,FALSE,Great defense evasion,40
9,2056,Left,4,"[1.4, 1.6, 4.3, 4.8]",0,99,,,FALSE,FALSE,0,11,"[32.5, 48.4, 54.6, 55.7, 76.7, 85.0, 96.5, 96.9, 97.9, 98.7, 114.3]",0,70,FALSE,FALSE,6,17,22,Hub,Mid,Level 3,11,Fast,Good,FALSE,Slow aim but accurate,28
9,254,Left,3,"[2.3, 3.6, 4.7]",0,94,,,TRUE,TRUE,0,16,"[10.1, 26.9, 29.2, 29.2, 39.3, 57.3, 76.1, 77.3, 87.8, 100.5, 100.7, 101.4, 103.3, 103.3, 105.4, 111.9]",0,75,FALSE,FALSE,6,5,9,Hub,Trench,Level 2,11,Medium,Good,FALSE,Very consistent,27
9,971,Mid,3,"[2.1, 2.6, 4.9]",0,97,,,TRUE,FALSE,0,10,"[17.3, 34.0, 36.8, 42.9, 52.1, 63.5, 77.4, 80.1, 112.9, 116.1]",0,78,FALSE,TRUE,5,16,18,Hub,Trench,None,0,Medium,Excellent,FALSE,Great shooting,39
9,33,Left,3,"[2.6, 3.5, 4.1]",0,94,,,TRUE,TRUE,0,16,"[23.2, 29.0, 43.6, 46.6, 61.5, 64.2, 76.4, 77.7, 83.5, 87.5, 96.6, 99.9, 100.9, 107.8, 112.4, 115.4]",0,82,TRUE,TRUE,0,12,20,Hub,Trench,Level 2,9,Fast,Excellent,FALSE,Smooth cycles,27
10,1114,Left,4,"[1.9, 2.1, 2.9, 3.8]",0,94,,,TRUE,FALSE,0,10,"[30.7, 45.1, 46.8, 48.3, 49.2, 52.1, 60.6, 72.3, 86.0, 101.5]",0,91,FALSE,TRUE,0,12,5,Hub,Trench,None,0,Medium,Excellent,FALSE,Slow aim but accurate,34
10,4414,Mid,5,"[1.5, 1.7, 2.5, 2.7, 4.0]",0,90,,,FALSE,TRUE,0,12,"[19.0, 33.7, 42.1, 63.2, 84.0, 88.0, 88.3, 89.6, 99.6, 104.3, 104.5, 114.5]",0,74,FALSE,TRUE,0,16,12,Hub,Mid,Level 2,10,Fast,Excellent,FALSE,Very consistent,43
10,1678,Mid,3,"[1.6, 2.2, 3.1]",0,80,,,TRUE,FALSE,0,13,"[10.6, 16.4, 25.5, 26.6, 33.1, 48.7, 50.6, 86.3, 86.5, 100.9, 106.3, 111.8, 112.4]",0,76,TRUE,FALSE,1,8,12,Hub,Trench,Level 2,4,Medium,Excellent,FALSE,Fast climb,39
10,148,Left,3,"[1.7, 2.1, 2.6]",0,93,,,FALSE,FALSE,0,13,"[16.0, 32.6, 33.4, 35.6, 37.5, 57.2, 64.8, 94.6, 95.7, 96.0, 98.4, 99.3, 114.5]",0,72,TRUE,FALSE,6,7,26,Hub,Mid,None,0,Medium,Excellent,FALSE,Fast climb,48
10,1323,Left,6,"[1.3, 2.6, 2.8, 3.6, 4.5, 4.9]",0,100,,,FALSE,TRUE,0,9,"[10.1, 10.3, 24.9, 34.2, 37.3, 71.1, 87.7, 103.9, 116.4]",0,79,TRUE,TRUE,4,13,13,Hub,Mid,None,0,Fast,Good,FALSE,Great defense evasion,27
10,1690,Left,5,"[1.1, 1.6, 2.3, 2.7, 4.4]",0,95,,,TRUE,FALSE,0,12,"[10.0, 10.9, 17.3, 22.9, 31.4, 57.2, 57.3, 59.7, 64.8, 85.0, 104.7, 119.1]",0,70,FALSE,FALSE,2,11,26,Hub,Mid,Level 3,8,Medium,Excellent,FALSE,Great shooting,38
11,1114,Right,5,"[1.1, 1.6, 3.1, 4.4, 5.0]",0,98,,,FALSE,FALSE,0,11,"[20.3, 22.6, 28.6, 32.6, 37.3, 61.5, 63.8, 69.1, 84.0, 92.4, 96.5]",0,86,FALSE,FALSE,1,1,9,Hub,Mid,None,0,Fast,Excellent,FALSE,Fast climb,39
11,3476,Left,6,"[1.3, 2.3, 3.0, 3.6, 3.6, 3.7]",0,75,,,FALSE,FALSE,0,18,"[11.7, 15.6, 16.8, 18.2, 21.6, 32.5, 41.5, 43.8, 62.2, 77.3, 84.0, 85.3, 99.7, 105.6, 109.5, 110.6, 111.5, 113.4]",0,93,FALSE,FALSE,0,5,29,Hub,Trench,None,0,Fast,Good,FALSE,Great shooting,34
11,2056,Right,5,"[2.3, 2.6, 2.7, 3.7, 4.1]",0,95,,,FALSE,FALSE,0,16,"[16.1, 20.8, 33.0, 36.4, 46.2, 55.9, 68.5, 69.0, 83.7, 106.2, 107.4, 107.6, 110.2, 114.5, 117.7, 119.5]",0,83,TRUE,FALSE,10,9,19,Hub,Trench,Level 3,5,Fast,Good,FALSE,Slow aim but accurate,48
11,604,Right,4,"[1.9, 2.2, 4.5, 4.6]",0,96,,,TRUE,TRUE,0,18,"[11.4, 12.7, 24.8, 30.1, 37.7, 39.7, 41.4, 45.8, 50.2, 54.4, 56.2, 60.9, 82.6, 87.1, 98.1, 99.3, 99.5, 107.2]",0,93,TRUE,TRUE,6,16,16,Hub,Mid,None,0,Medium,Excellent,FALSE,Got defended heavily,25
11,441,Right,5,"[1.2, 2.5, 2.6, 2.6, 3.1]",0,78,,,FALSE,FALSE,0,15,"[24.6, 30.3, 39.0, 41.8, 46.1, 50.1, 70.1, 79.3, 86.5, 96.7, 98.2, 111.3, 116.3, 116.9, 117.3]",0,70,TRUE,FALSE,8,8,17,Hub,Mid,None,0,Fast,Good,FALSE,Excellent pathing,38
11,4414,Mid,6,"[1.7, 1.8, 2.6, 2.8, 3.4, 4.4]",0,99,,,FALSE,FALSE,0,14,"[17.3, 17.4, 29.3, 35.9, 40.5, 59.1, 60.4, 71.9, 73.0, 84.4, 85.7, 103.3, 113.9, 118.1]",0,75,FALSE,TRUE,5,1,22,Hub,Mid,Level 3,7,Fast,Excellent,FALSE,Very consistent,31
12,441,Mid,4,"[1.0, 3.0, 3.8, 4.0]",0,89,,,FALSE,FALSE,0,9,"[11.7, 23.0, 26.4, 31.8, 39.2, 88.3, 95.6, 97.5, 117.7]",0,88,FALSE,FALSE,1,0,16,Hub,Trench,None,0,Fast,Good,FALSE,Got defended heavily,49
12,1678,Left,5,"[1.4, 1.5, 1.7, 3.3, 3.9]",0,75,,,FALSE,FALSE,0,13,"[11.6, 14.9, 48.2, 48.9, 55.3, 67.7, 80.7, 81.3, 84.5, 90.7, 101.9, 102.1, 112.5]",0,82,FALSE,TRUE,8,19,22,Hub,Trench,Level 3,8,Fast,Good,FALSE,Very consistent,49
12,1114,Right,5,"[1.1, 1.9, 2.5, 2.6, 3.0]",0,84,,,TRUE,TRUE,0,16,"[11.5, 16.9, 26.0, 38.8, 64.8, 77.8, 78.2, 79.7, 80.2, 81.2, 84.6, 91.2, 96.8, 97.2, 107.9, 112.3]",0,87,TRUE,TRUE,6,13,1,Hub,Trench,Level 3,10,Medium,Excellent,FALSE,Got defended heavily,45
12,4414,Left,3,"[1.4, 1.5, 2.1]",0,79,,,TRUE,TRUE,0,15,"[10.1, 31.3, 36.5, 39.5, 61.5, 72.9, 74.1, 75.9, 87.4, 89.9, 92.4, 97.2, 101.7, 105.3, 116.9]",0,79,FALSE,TRUE,3,6,4,Hub,Trench,None,0,Fast,Good,FALSE,Missed a few shots,47
12,971,Mid,3,"[1.4, 2.1, 4.1]",0,85,,,FALSE,TRUE,0,18,"[12.0, 15.1, 15.3, 22.5, 30.0, 46.7, 46.8, 60.5, 68.0, 75.8, 85.6, 87.7, 95.8, 97.2, 98.8, 99.0, 116.6, 117.5]",0,95,FALSE,TRUE,3,7,26,Hub,Mid,Level 2,4,Medium,Good,FALSE,Strong defense,28
12,4414,Left,4,"[1.0, 2.0, 2.7, 4.7]",0,80,,,TRUE,FALSE,0,9,"[29.5, 34.5, 50.8, 52.8, 86.3, 100.3, 108.8, 115.4, 116.4]",0,85,TRUE,FALSE,4,19,13,Hub,Mid,Level 2,10,Medium,Good,FALSE,Great shooting,32
13,1690,Mid,5,"[2.3, 2.4, 2.7, 3.2, 4.9]",0,85,,,FALSE,TRUE,0,15,"[11.7, 16.0, 38.9, 44.5, 64.9, 76.8, 78.7, 82.9, 83.5, 93.6, 103.2, 108.6, 116.2, 116.3, 116.6]",0,84,TRUE,TRUE,7,12,10,Hub,Mid,Level 2,7,Fast,Excellent,FALSE,Missed a few shots,46
13,441,Left,5,"[1.3, 1.4, 3.0, 4.2, 4.4]",0,90,,,TRUE,TRUE,0,16,"[10.7, 10.8, 15.9, 22.0, 30.1, 40.4, 45.9, 56.9, 58.5, 64.7, 66.0, 67.7, 75.3, 82.7, 101.1, 107.9]",0,73,TRUE,FALSE,1,14,18,Hub,Mid,Level 3,6,Medium,Excellent,FALSE,Got defended heavily,28
13,33,Mid,6,"[1.4, 1.9, 2.0, 2.0, 2.1, 4.9]",0,91,,,FALSE,FALSE,0,17,"[13.3, 13.7, 15.9, 18.8, 20.4, 24.9, 36.9, 45.0, 56.8, 64.6, 70.0, 77.1, 81.2, 82.9, 97.2, 102.8, 119.4]",0,91,TRUE,FALSE,1,12,7,Hub,Trench,Level 2,12,Medium,Excellent,FALSE,Great shooting,45
13,441,Right,4,"[2.0, 2.2, 2.6, 2.8]",0,96,,,FALSE,FALSE,0,12,"[13.5, 16.5, 27.2, 39.3, 50.6, 58.6, 65.4, 82.5, 83.9, 90.3, 95.7, 114.0]",0,73,TRUE,FALSE,8,6,28,Hub,Mid,Level 3,10,Medium,Excellent,FALSE,Slow aim but accurate,39
